method,pair_name,role,image_dir,requested_dev,used_cpu,return_code,elapsed_sec,n_images_parsed,mean_image_score,max_image_score,mean_flagged_ratio,mean_confidence,error_summary,stdout_log,stderr_log
dct,cover_vs_stego,cover,data/baseline/5/results_raw/dct/cover,0,False,0,812.3123996257782,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_cover_stderr.txt
dct,cover_vs_stego,stego,data/baseline/5/results_raw/dct/stego,0,False,0,836.3671455383301,15,0.43333333333333335,1.0,0.5,0.5088888888888888,,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_cover_vs_stego_stego_stderr.txt
dct,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/dct/pre_secret,0,False,0,850.5516741275787,15,0.035,0.4,0.11666666666666667,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_pre_secret_vs_secret_pre_secret_stderr.txt
dct,pre_secret_vs_secret,secret,data/baseline/5/results_raw/dct/secret,0,False,0,848.6778090000153,15,1.4449999999999998,13.2,0.25,0.5,,data/baseline/5/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/dct_pre_secret_vs_secret_secret_stderr.txt
dwt,cover_vs_stego,cover,data/baseline/5/results_raw/dwt/cover,0,False,0,844.8013112545013,15,0.045000000000000005,1.6,0.05,0.5155555555555555,,data/baseline/5/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/dwt_cover_vs_stego_cover_stderr.txt
dwt,cover_vs_stego,stego,data/baseline/5/results_raw/dwt/stego,0,False,0,847.0042986869812,15,0.3516666666666666,1.0,0.4166666666666667,0.5111111111111111,,data/baseline/5/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/dwt_cover_vs_stego_stego_stderr.txt
dwt,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/dwt/pre_secret,0,False,0,840.1232323646545,15,0.035,0.4,0.11666666666666667,0.5022222222222222,,data/baseline/5/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/dwt_pre_secret_vs_secret_pre_secret_stderr.txt
dwt,pre_secret_vs_secret,secret,data/baseline/5/results_raw/dwt/secret,0,False,0,839.9881200790405,15,0.165,1.9,0.23333333333333334,0.5,,data/baseline/5/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/dwt_pre_secret_vs_secret_secret_stderr.txt
lsb,cover_vs_stego,cover,data/baseline/5/results_raw/lsb/cover,0,False,0,855.3035233020782,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/5/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/lsb_cover_vs_stego_cover_stderr.txt
lsb,cover_vs_stego,stego,data/baseline/5/results_raw/lsb/stego,0,False,0,839.6963489055634,15,0.3766666666666667,1.0,0.4166666666666667,0.5133333333333333,,data/baseline/5/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/lsb_cover_vs_stego_stego_stderr.txt
lsb,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/lsb/pre_secret,0,False,0,838.5527029037476,15,0.035,0.4,0.11666666666666667,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/lsb_pre_secret_vs_secret_pre_secret_stderr.txt
lsb,pre_secret_vs_secret,secret,data/baseline/5/results_raw/lsb/secret,0,False,0,843.9519507884979,15,0.035,0.4,0.11666666666666667,0.5066666666666666,,data/baseline/5/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/lsb_pre_secret_vs_secret_secret_stderr.txt
original,cover_vs_stego,cover,data/baseline/5/results_raw/original/cover,0,False,0,848.7135617733002,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/original_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/original_cover_vs_stego_cover_stderr.txt
original,cover_vs_stego,stego,data/baseline/5/results_raw/original/stego,0,False,0,837.0602741241455,15,0.38666666666666666,1.0,0.43333333333333335,0.5155555555555555,,data/baseline/5/aletheia_outputs/logs/original_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/original_cover_vs_stego_stego_stderr.txt
original,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/original/pre_secret,0,False,0,845.0355832576752,15,0.03833333333333334,0.5,0.11666666666666667,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/original_pre_secret_vs_secret_pre_secret_stderr.txt
original,pre_secret_vs_secret,secret,data/baseline/5/results_raw/original/secret,0,False,0,843.5009100437164,15,0.03833333333333334,0.5,0.11666666666666667,0.5066666666666666,,data/baseline/5/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/original_pre_secret_vs_secret_secret_stderr.txt
spread_spectrum,cover_vs_stego,cover,data/baseline/5/results_raw/spread_spectrum/cover,0,False,0,845.2482314109802,15,0.045000000000000005,1.6,0.05,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_cover_stderr.txt
spread_spectrum,cover_vs_stego,stego,data/baseline/5/results_raw/spread_spectrum/stego,0,False,0,838.1359503269196,15,0.09,0.8,0.13333333333333333,0.5,,data/baseline/5/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/spread_spectrum_cover_vs_stego_stego_stderr.txt
spread_spectrum,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/spread_spectrum/pre_secret,0,False,0,834.7384178638458,15,0.035,0.4,0.11666666666666667,0.5044444444444445,,data/baseline/5/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_pre_secret_stderr.txt
spread_spectrum,pre_secret_vs_secret,secret,data/baseline/5/results_raw/spread_spectrum/secret,0,False,0,838.9177100658417,15,6.318333333333333,31.7,0.25,0.5,,data/baseline/5/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/spread_spectrum_pre_secret_vs_secret_secret_stderr.txt
statistical,cover_vs_stego,cover,data/baseline/5/results_raw/statistical/cover,0,False,0,842.1146252155304,15,0.045000000000000005,1.6,0.05,0.5066666666666666,,data/baseline/5/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stdout.txt,data/baseline/5/aletheia_outputs/logs/statistical_cover_vs_stego_cover_stderr.txt
statistical,cover_vs_stego,stego,data/baseline/5/results_raw/statistical/stego,0,False,0,836.7495577335358,15,0.38333333333333336,1.0,0.4166666666666667,0.5155555555555555,,data/baseline/5/aletheia_outputs/logs/statistical_cover_vs_stego_stego_stdout.txt,data/baseline/5/aletheia_outputs/logs/statistical_cover_vs_stego_stego_stderr.txt
statistical,pre_secret_vs_secret,pre_secret,data/baseline/5/results_raw/statistical/pre_secret,0,False,0,851.132485628128,15,0.035,0.4,0.11666666666666667,0.5111111111111112,,data/baseline/5/aletheia_outputs/logs/statistical_pre_secret_vs_secret_pre_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/statistical_pre_secret_vs_secret_pre_secret_stderr.txt
statistical,pre_secret_vs_secret,secret,data/baseline/5/results_raw/statistical/secret,0,False,0,841.7982141971588,15,0.11166666666666666,1.0,0.23333333333333334,0.5022222222222222,,data/baseline/5/aletheia_outputs/logs/statistical_pre_secret_vs_secret_secret_stdout.txt,data/baseline/5/aletheia_outputs/logs/statistical_pre_secret_vs_secret_secret_stderr.txt
