run_data_dir,method,pair_name,cover_score,cover_flagged_ratio,stego_score,stego_flagged_ratio,n_images_role_a,n_images_role_b,n_matched_images,score_gap,score_gap_median,score_gap_std,score_gap_sem,score_gap_ci95,score_gap_sign_consistency,flagged_gap,flagged_gap_median,flagged_gap_std,flagged_gap_sem,flagged_gap_ci95,score_gap_conf_weighted,score_gap_conf_weighted_ci95,pre_secret_score,pre_secret_flagged_ratio,secret_score,secret_flagged_ratio
data/baseline/0,dct,cover_vs_stego,0.045000000000000005,0.05,0.285,0.3333333333333333,15,15,15,0.23999999999999996,0.25,0.16738535522218526,0.04321871287830241,0.08470867724147273,0.9333333333333333,0.2833333333333333,0.25,0.20845234695819798,0.053822164549796735,0.10549144251760159,0.12169444444444445,0.04294044757884581,,,,
data/baseline/0,dct,pre_secret_vs_secret,,,,,15,15,15,1.245,1.15,0.9972372550487385,0.2574855520680908,0.504671682053458,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6279722222222223,0.2555213011076632,0.03666666666666667,0.11666666666666667,1.2816666666666667,0.23333333333333334
data/baseline/0,dwt,cover_vs_stego,0.045000000000000005,0.05,0.39,0.5,15,15,15,0.345,0.4,0.19067549097129097,0.04923220007078217,0.09649511213873305,0.9333333333333333,0.45,0.5,0.23528098702858008,0.060749289629395596,0.11906860767361536,0.17686111111111108,0.0497661407404425,,,,
data/baseline/0,dwt,pre_secret_vs_secret,,,,,15,15,15,0.14666666666666667,0.125,0.09442810316143528,0.024381231397212984,0.047787213538537446,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.07372222222222222,0.023930060928660058,0.03666666666666667,0.11666666666666667,0.18333333333333332,0.25
data/baseline/0,lsb,cover_vs_stego,0.045000000000000005,0.05,0.405,0.45,15,15,15,0.35999999999999993,0.42500000000000004,0.2125105039420741,0.05486997617745324,0.10754515330780835,0.9333333333333333,0.4,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.18366666666666662,0.055263612970186074,,,,
data/baseline/0,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666666666666667,0.11666666666666667,0.03666666666666667,0.11666666666666667
data/baseline/0,original,cover_vs_stego,0.045000000000000005,0.05,0.4033333333333334,0.45,15,15,15,0.35833333333333334,0.45,0.2116404183200049,0.05464532103585001,0.10710482923026601,0.9333333333333333,0.4,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.17975,0.0538130662571833,,,,
data/baseline/0,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/0,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.22166666666666668,0.23333333333333334,15,15,15,0.1766666666666667,0.19999999999999998,0.17613577014283477,0.04547806029564111,0.08913699817945657,0.9333333333333333,0.18333333333333332,0.25,0.19970215917949508,0.05156287578025647,0.10106323652930269,0.09000000000000001,0.04506173543040703,,,,
data/baseline/0,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.376666666666666,6.2250000000000005,0.9427574803026847,0.2434189347149843,0.47710111204136924,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.200916666666666,0.23460089090007977,0.03666666666666667,0.11666666666666667,6.413333333333332,0.25
data/baseline/0,statistical,cover_vs_stego,0.045000000000000005,0.05,0.4000000000000001,0.45,15,15,15,0.35500000000000004,0.4,0.2128044038212421,0.05494586079995124,0.10769388716790443,0.9333333333333333,0.4,0.5,0.2803059552906941,0.0723746864455746,0.1418543854333262,0.18061111111111114,0.054815591061821,,,,
data/baseline/0,statistical,pre_secret_vs_secret,,,,,15,15,15,0.058333333333333334,0.05,0.06385437300906613,0.016487128216441965,0.032314771304226254,0.9166666666666666,0.1,0.0,0.1267731382092775,0.032732683535398856,0.06415605972938175,0.029249999999999998,0.016146020378844876,0.03666666666666667,0.11666666666666667,0.09499999999999999,0.21666666666666667
data/baseline/1,dct,cover_vs_stego,0.045000000000000005,0.05,0.23666666666666666,0.25,15,15,15,0.19166666666666668,0.225,0.17414758382584858,0.044964712795984775,0.08813083708013016,0.9333333333333333,0.2,0.25,0.16903085094570333,0.04364357804719848,0.08554141297250901,0.09855555555555555,0.04630598878688224,,,,
data/baseline/1,dct,pre_secret_vs_secret,,,,,15,15,15,1.3633333333333333,1.325,1.0113139731957392,0.26112014506493014,0.5117954843272631,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6836666666666666,0.25582410007225237,0.03833333333333334,0.11666666666666667,1.4016666666666666,0.23333333333333334
data/baseline/1,dwt,cover_vs_stego,0.045000000000000005,0.05,0.35000000000000003,0.4166666666666667,15,15,15,0.30500000000000005,0.375,0.2138507490217017,0.05521602596900218,0.10822341089924427,0.9333333333333333,0.36666666666666664,0.5,0.22886885410853172,0.05909368402852788,0.11582362069591465,0.15511111111111112,0.05499950337598457,,,,
data/baseline/1,dwt,pre_secret_vs_secret,,,,,15,15,15,0.18166666666666664,0.15,0.1174379268663521,0.030322342331100417,0.059431790968956816,1.0,0.16666666666666666,0.25,0.1543033499620919,0.03984095364447979,0.07808826914318039,0.09155555555555556,0.02993487624910754,0.03833333333333334,0.11666666666666667,0.22,0.2833333333333333
data/baseline/1,lsb,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.38333333333333336,15,15,15,0.26333333333333336,0.25,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.3333333333333333,0.25,0.2041241452319315,0.05270462766947299,0.10330107023216706,0.1355277777777778,0.045881874510987186,,,,
data/baseline/1,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/1,original,cover_vs_stego,0.045000000000000005,0.05,0.30833333333333335,0.4166666666666667,15,15,15,0.26333333333333336,0.2,0.17419884642338507,0.04497794874175425,0.08815677953383834,0.9333333333333333,0.36666666666666664,0.25,0.208452346958198,0.05382216454979674,0.1054914425176016,0.13580555555555557,0.046252639577663394,,,,
data/baseline/1,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/1,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.16999999999999996,0.23333333333333334,15,15,15,0.12499999999999999,0.125,0.13496031162636557,0.03484660262185847,0.0682993411388426,0.9333333333333333,0.18333333333333332,0.25,0.1759328876372492,0.04542567625794979,0.08903432546558158,0.06266666666666666,0.03416796810529482,,,,
data/baseline/1,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.248333333333333,6.1000000000000005,0.9885716006055453,0.25524808971192575,0.5002862558353744,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.1241666666666665,0.2501431279176872,0.03833333333333334,0.11666666666666667,6.286666666666666,0.25
data/baseline/1,statistical,cover_vs_stego,0.045000000000000005,0.05,0.375,0.48333333333333334,15,15,15,0.33,0.425,0.21259451679530347,0.054891668202881556,0.10758766967764785,0.9333333333333333,0.43333333333333335,0.5,0.2749458821208968,0.0709907215041694,0.139141814148172,0.16808333333333333,0.05460783205935045,,,,
data/baseline/1,statistical,pre_secret_vs_secret,,,,,15,15,15,0.07999999999999999,0.075,0.07083683464735803,0.018289992059151078,0.03584838443593611,0.9285714285714286,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.04016666666666667,0.01796238837950834,0.03833333333333334,0.11666666666666667,0.11833333333333335,0.23333333333333334
data/baseline/2,dct,cover_vs_stego,0.045000000000000005,0.05,0.26333333333333336,0.3333333333333333,15,15,15,0.21833333333333335,0.22499999999999998,0.19190461420294447,0.04954955832455755,0.0971171343161328,0.9333333333333333,0.2833333333333333,0.25,0.22886885410853172,0.05909368402852788,0.11582362069591465,0.11097222222222221,0.049382448836468404,,,,
data/baseline/2,dct,pre_secret_vs_secret,,,,,15,15,15,1.2049999999999998,1.3,0.9531994994303582,0.24611505246046822,0.4823855028225177,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6088333333333333,0.24387507372666267,0.036666666666666674,0.11666666666666667,1.2416666666666667,0.25
data/baseline/2,dwt,cover_vs_stego,0.045000000000000005,0.05,0.3316666666666667,0.35,15,15,15,0.28666666666666674,0.35,0.18098605576384164,0.0467303986579417,0.09159158136956573,0.9333333333333333,0.3,0.25,0.16903085094570333,0.04364357804719848,0.08554141297250901,0.14572222222222225,0.04696017403799748,,,,
data/baseline/2,dwt,pre_secret_vs_secret,,,,,15,15,15,0.14666666666666667,0.125,0.12459458063579461,0.032170182388675306,0.0630535574818036,1.0,0.1,0.0,0.1267731382092775,0.032732683535398856,0.06415605972938175,0.07372222222222222,0.03187815374860584,0.036666666666666674,0.11666666666666667,0.18333333333333332,0.21666666666666667
data/baseline/2,lsb,cover_vs_stego,0.045000000000000005,0.05,0.295,0.3333333333333333,15,15,15,0.25,0.275,0.22677868380553634,0.05855400437691199,0.1147658485787475,0.8666666666666667,0.2833333333333333,0.25,0.3114864515894865,0.08042545597168826,0.157633893704509,0.12925,0.058357007196127596,,,,
data/baseline/2,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036666666666666674,0.11666666666666667,0.036666666666666674,0.11666666666666667
data/baseline/2,original,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333334,0.35,15,15,15,0.2533333333333333,0.3,0.22694922864145714,0.05859803886419885,0.11485215617382974,0.8666666666666667,0.3,0.25,0.31622776601683794,0.08164965809277261,0.1600333298618343,0.12983333333333333,0.057854187946621144,,,,
data/baseline/2,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/2,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.12000000000000002,0.18333333333333332,15,15,15,0.075,0.07500000000000001,0.1569804355416851,0.04053217416888888,0.07944306137102221,0.8461538461538461,0.13333333333333333,0.25,0.18580583823930164,0.047974861141928296,0.09403072783817946,0.03855555555555555,0.04036844322787263,,,,
data/baseline/2,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.698333333333333,5.8500000000000005,1.8248891029581054,0.4711843402954756,0.9235213069791322,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,2.888416666666666,0.467650556121492,0.036666666666666674,0.11666666666666667,5.735000000000001,0.25
data/baseline/2,statistical,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333334,0.35,15,15,15,0.25333333333333335,0.3,0.20086124089838261,0.05186214939319946,0.10164981281067094,0.8666666666666667,0.3,0.25,0.31622776601683794,0.08164965809277261,0.1600333298618343,0.12997222222222224,0.05228971945319488,,,,
data/baseline/2,statistical,pre_secret_vs_secret,,,,,15,15,15,0.065,0.05,0.08546093510236961,0.022065918560186023,0.043249200377964606,0.9166666666666666,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.03255555555555555,0.021619586569978394,0.036666666666666674,0.11666666666666667,0.10166666666666667,0.23333333333333334
data/baseline/3,dct,cover_vs_stego,0.045000000000000005,0.05,0.44333333333333336,0.5166666666666667,15,15,15,0.3983333333333334,0.475,0.1699439683570805,0.04387934394902487,0.08600351414008874,0.9333333333333333,0.4666666666666667,0.5,0.2288688541085317,0.059093684028527875,0.11582362069591463,0.2002777777777778,0.04341532982942236,,,,
data/baseline/3,dct,pre_secret_vs_secret,,,,,15,15,15,1.23,0.85,0.9770674051905088,0.252277719228329,0.4944643296875248,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.6159444444444445,0.2470398567732905,0.03833333333333334,0.11666666666666667,1.2683333333333335,0.25
data/baseline/3,dwt,cover_vs_stego,0.045000000000000005,0.05,0.43333333333333335,0.5166666666666667,15,15,15,0.3883333333333333,0.45,0.18464895909600493,0.04767615623155744,0.09344526621385257,0.9333333333333333,0.4666666666666667,0.5,0.18580583823930164,0.047974861141928296,0.09403072783817946,0.1970555555555555,0.04812466547582948,,,,
data/baseline/3,dwt,pre_secret_vs_secret,,,,,15,15,15,0.14166666666666666,0.125,0.0994029797388005,0.02566573900611784,0.050304848451990965,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.07175,0.025370952550768235,0.03833333333333334,0.11666666666666667,0.18000000000000002,0.23333333333333334
data/baseline/3,lsb,cover_vs_stego,0.045000000000000005,0.05,0.3700000000000001,0.4166666666666667,15,15,15,0.32500000000000007,0.44999999999999996,0.21149974670704183,0.054608999781564,0.10703363957186544,0.9285714285714286,0.36666666666666664,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.1645277777777778,0.05435302936575447,,,,
data/baseline/3,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/3,original,cover_vs_stego,0.045000000000000005,0.05,0.37000000000000005,0.4166666666666667,15,15,15,0.32500000000000007,0.44999999999999996,0.20550460544022575,0.0530610609625947,0.1039996794866856,0.9333333333333333,0.36666666666666664,0.5,0.26502470684465484,0.06842908506285673,0.1341210067231992,0.16652777777777775,0.05326398888879501,,,,
data/baseline/3,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/3,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.05333333333333334,0.06666666666666667,15,15,15,0.008333333333333333,0.025,0.1341862600304233,0.03464674335917916,0.06790761698399116,0.7272727272727273,0.016666666666666666,0.0,0.14840420992616593,0.038317802236740674,0.07510289238401172,0.0047777777777777775,0.034626764500211196,,,,
data/baseline/3,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.978333333333334,6.325,0.9039529591637788,0.23339965043974856,0.45746331486190717,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.0033055555555555,0.23296066152045794,0.03833333333333334,0.11666666666666667,6.016666666666666,0.25
data/baseline/3,statistical,cover_vs_stego,0.045000000000000005,0.05,0.39499999999999996,0.43333333333333335,15,15,15,0.35,0.45,0.20723520109148583,0.05350789883835131,0.10487548172316856,0.9333333333333333,0.38333333333333336,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.1779444444444445,0.05345022157502954,,,,
data/baseline/3,statistical,pre_secret_vs_secret,,,,,15,15,15,0.07333333333333333,0.049999999999999996,0.12972039528301227,0.03349366203963664,0.06564757759768781,0.8461538461538461,0.08333333333333333,0.0,0.12198750911856666,0.031497039417435604,0.061734197258173786,0.03691666666666667,0.032903207487461804,0.03833333333333334,0.11666666666666667,0.11166666666666665,0.2
data/baseline/4,dct,cover_vs_stego,0.045000000000000005,0.05,0.3483333333333334,0.4,15,15,15,0.3033333333333334,0.3,0.15025771511766361,0.038796375219325975,0.07604089542987891,0.9333333333333333,0.35,0.25,0.20701966780270625,0.05345224838248487,0.10476640682967034,0.15497222222222223,0.04004280627738148,,,,
data/baseline/4,dct,pre_secret_vs_secret,,,,,15,15,15,1.4916666666666667,1.2,1.1425873937607365,0.29501479650812457,0.5782290011559241,0.9333333333333333,0.11666666666666667,0.25,0.1599851183555461,0.04130797993547017,0.08096364067352153,0.7477777777777778,0.28867004227775694,0.035,0.1,1.5266666666666666,0.21666666666666667
data/baseline/4,dwt,cover_vs_stego,0.045000000000000005,0.05,0.36000000000000004,0.45,15,15,15,0.315,0.375,0.20524375751773788,0.052993710318615474,0.10386767222448633,0.9333333333333333,0.4,0.5,0.24640269015229058,0.06362090102803518,0.12469696601494895,0.16116666666666662,0.05366587535648493,,,,
data/baseline/4,dwt,pre_secret_vs_secret,,,,,15,15,15,0.12333333333333334,0.07500000000000002,0.1024114018949806,0.026442510266734304,0.05182732012279923,1.0,0.1,0.0,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.061888888888888896,0.02589537613046529,0.035,0.1,0.15833333333333333,0.2
data/baseline/4,lsb,cover_vs_stego,0.045000000000000005,0.05,0.42500000000000004,0.5333333333333333,15,15,15,0.37999999999999995,0.45,0.21468415338418836,0.05543121005010668,0.10864517169820909,0.9333333333333333,0.48333333333333334,0.5,0.2209287754221342,0.05704356452719495,0.1118053864733021,0.19672222222222221,0.057059057979700845,,,,
data/baseline/4,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.1,0.035,0.1
data/baseline/4,original,cover_vs_stego,0.045000000000000005,0.05,0.42,0.5,15,15,15,0.37499999999999994,0.45,0.21086556313036442,0.05444525428617,0.1067126984008932,0.9333333333333333,0.45,0.5,0.19364916731037082,0.049999999999999996,0.09799999999999999,0.19083333333333333,0.05459900283989728,,,,
data/baseline/4,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/4,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.16000000000000003,0.18333333333333332,15,15,15,0.11499999999999998,0.125,0.1332291259447423,0.03439961240091716,0.06742324030579763,0.9333333333333333,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.058333333333333334,0.03397886707068685,,,,
data/baseline/4,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.413333333333333,6.550000000000001,0.642669284721006,0.16593649578956593,0.3252355317475492,1.0,0.15,0.25,0.1267731382092775,0.032732683535398856,0.06415605972938175,3.2291944444444445,0.17220747532203742,0.035,0.1,6.448333333333333,0.25
data/baseline/4,statistical,cover_vs_stego,0.045000000000000005,0.05,0.37333333333333335,0.48333333333333334,15,15,15,0.3283333333333333,0.375,0.2072064762731219,0.053500482122141556,0.10486094495939745,0.9333333333333333,0.43333333333333335,0.5,0.24028752618081375,0.06204197247997802,0.12160226606075693,0.1681111111111111,0.05412988909860392,,,,
data/baseline/4,statistical,pre_secret_vs_secret,,,,,15,15,15,0.065,0.05,0.08803408430829505,0.022730302828309762,0.04455139354348713,0.8461538461538461,0.08333333333333333,0.0,0.1543033499620919,0.03984095364447979,0.07808826914318039,0.03286111111111111,0.022283945502547205,0.035,0.1,0.1,0.18333333333333332
data/baseline/5,dct,cover_vs_stego,0.045000000000000005,0.05,0.43333333333333335,0.5,15,15,15,0.38833333333333336,0.425,0.18392221440701761,0.04748851155973127,0.09307748265707329,0.9333333333333333,0.45,0.5,0.21547290184283366,0.05563486402641868,0.10904433349178061,0.19752777777777775,0.047207522561767135,,,,
data/baseline/5,dct,pre_secret_vs_secret,,,,,15,15,15,1.41,1.575,1.042053261594627,0.26905699520114074,0.5273517105942358,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.7099999999999999,0.2664281359572026,0.035,0.11666666666666667,1.4449999999999998,0.25
data/baseline/5,dwt,cover_vs_stego,0.045000000000000005,0.05,0.3516666666666666,0.4166666666666667,15,15,15,0.30666666666666664,0.375,0.22209768335662794,0.05734537525809788,0.11239693550587185,0.8666666666666667,0.36666666666666664,0.5,0.29680841985233186,0.07663560447348135,0.15020578476802343,0.15869444444444444,0.05841617059016923,,,,
data/baseline/5,dwt,pre_secret_vs_secret,,,,,15,15,15,0.13,0.1,0.10987005311470716,0.02836832573067901,0.05560191843213086,1.0,0.11666666666666667,0.0,0.1599851183555461,0.04130797993547017,0.08096364067352153,0.0653611111111111,0.02815522360148081,0.035,0.11666666666666667,0.165,0.23333333333333334
data/baseline/5,lsb,cover_vs_stego,0.045000000000000005,0.05,0.3766666666666667,0.4166666666666667,15,15,15,0.3316666666666667,0.45,0.24448682893728557,0.06312622778941124,0.12372740646724602,0.9333333333333333,0.36666666666666664,0.5,0.2813657169355689,0.0726483157256779,0.1423906988223287,0.16919444444444445,0.062409246564833036,,,,
data/baseline/5,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.11666666666666667,0.035,0.11666666666666667
data/baseline/5,original,cover_vs_stego,0.045000000000000005,0.05,0.38666666666666666,0.43333333333333335,15,15,15,0.3416666666666666,0.475,0.23972951027196904,0.06189789339185306,0.12131987104803199,0.9333333333333333,0.38333333333333336,0.5,0.29680841985233186,0.07663560447348135,0.15020578476802343,0.17413888888888887,0.06116362996801446,,,,
data/baseline/5,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/5,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.09,0.13333333333333333,15,15,15,0.045000000000000005,0.075,0.12789504625724507,0.03302235894778249,0.06472382353765369,0.8461538461538461,0.08333333333333333,0.0,0.18093671611393647,0.04671765921511567,0.09156661206162671,0.022777777777777772,0.03255346589804699,,,,
data/baseline/5,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,6.283333333333333,6.075,0.9235832135660286,0.23846816033186377,0.46739759425045296,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,3.156361111111111,0.23786435973231504,0.035,0.11666666666666667,6.318333333333333,0.25
data/baseline/5,statistical,cover_vs_stego,0.045000000000000005,0.05,0.38333333333333336,0.4166666666666667,15,15,15,0.3383333333333333,0.45,0.22056475131763356,0.05694957390757168,0.1116211648588405,0.9333333333333333,0.36666666666666664,0.5,0.3255032733358929,0.08404458378439426,0.16472738421741276,0.17305555555555555,0.05655369517787148,,,,
data/baseline/5,statistical,pre_secret_vs_secret,,,,,15,15,15,0.07666666666666667,0.05,0.06157651067303722,0.015898986690282425,0.031162013912953552,1.0,0.11666666666666667,0.0,0.12909944487358055,0.033333333333333326,0.06533333333333331,0.03847222222222223,0.015543796944658989,0.035,0.11666666666666667,0.11166666666666666,0.23333333333333334
data/baseline/6,dct,cover_vs_stego,0.045000000000000005,0.05,0.40166666666666667,0.45,15,15,15,0.35666666666666663,0.4,0.1709915063331955,0.04414981709142574,0.08653364149919446,0.9333333333333333,0.4,0.5,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.17930555555555555,0.043562482088134194,,,,
data/baseline/6,dct,pre_secret_vs_secret,,,,,15,15,15,1.2483333333333333,0.9999999999999999,1.0752269970746156,0.27762241687083977,0.5441399370668459,1.0,0.1,0.0,0.15811388300841897,0.040824829046386304,0.08001666493091715,0.6281944444444444,0.2730580806371321,0.03833333333333334,0.11666666666666667,1.2866666666666666,0.21666666666666667
data/baseline/6,dwt,cover_vs_stego,0.045000000000000005,0.05,0.44,0.5333333333333333,15,15,15,0.3950000000000001,0.475,0.2200243493018768,0.05681004270708616,0.11134768370588886,0.9333333333333333,0.48333333333333334,0.5,0.25819888974716115,0.06666666666666667,0.13066666666666665,0.20244444444444448,0.057394925776921,,,,
data/baseline/6,dwt,pre_secret_vs_secret,,,,,15,15,15,0.10666666666666669,0.07500000000000001,0.08735532256796022,0.022555047300552456,0.04420789270908281,1.0,0.1,0.0,0.158113883008419,0.04082482904638631,0.08001666493091716,0.053555555555555565,0.022236578251738262,0.03833333333333334,0.11666666666666667,0.145,0.21666666666666667
data/baseline/6,lsb,cover_vs_stego,0.045000000000000005,0.05,0.34166666666666673,0.4,15,15,15,0.2966666666666667,0.4,0.22257957378579613,0.05746979883188889,0.11264080571050221,0.8,0.35,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.1517222222222222,0.05726047118644613,,,,
data/baseline/6,lsb,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/6,original,cover_vs_stego,0.045000000000000005,0.05,0.3416666666666666,0.4,15,15,15,0.29666666666666663,0.4,0.22734230536687142,0.05869953083828627,0.11505108044304108,0.8,0.35,0.5,0.280305955290694,0.07237468644557458,0.14185438543332618,0.1531111111111111,0.059292521117707817,,,,
data/baseline/6,original,pre_secret_vs_secret,,,,,15,15,15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03833333333333334,0.11666666666666667,0.03833333333333334,0.11666666666666667
data/baseline/6,spread_spectrum,cover_vs_stego,0.045000000000000005,0.05,0.13333333333333333,0.15,15,15,15,0.08833333333333333,0.1,0.16660117760974075,0.043016239089404655,0.08431182861523312,0.9333333333333333,0.1,0.0,0.22756474745819988,0.058756965139300316,0.11516365167302861,0.0453611111111111,0.04254503523863614,,,,
data/baseline/6,spread_spectrum,pre_secret_vs_secret,,,,,15,15,15,5.916666666666668,5.8500000000000005,1.0682791012161748,0.27582847787411147,0.5406238166332584,1.0,0.13333333333333333,0.25,0.12909944487358055,0.033333333333333326,0.06533333333333331,2.973166666666667,0.2768095571902311,0.03833333333333334,0.11666666666666667,5.955000000000001,0.25
data/baseline/6,statistical,cover_vs_stego,0.045000000000000005,0.05,0.2983333333333333,0.35,15,15,15,0.2533333333333333,0.32499999999999996,0.23219962675824152,0.05995368582868316,0.117509224224219,0.8571428571428571,0.3,0.5,0.3017804310611087,0.07791937224739796,0.1527219696049,0.12844444444444444,0.0594625349004743,,,,
data/baseline/6,statistical,pre_secret_vs_secret,,,,,15,15,15,0.08166666666666668,0.075,0.1262320237084228,0.032592968372052084,0.06388221800922209,0.8461538461538461,0.08333333333333333,0.0,0.12198750911856666,0.031497039417435604,0.061734197258173786,0.04086111111111111,0.03193439341393617,0.03833333333333334,0.11666666666666667,0.12000000000000002,0.2
