delta,block_size,rep,label,ber_text,text_acc,method,ablation_idx,band,gain,threshold
150.0,4.0,1.0,dct_d150_b4_rep1,1.0,0.0,dct,0,,,
200.0,4.0,1.0,dct_d200_b4_rep1,1.0,0.0,dct,0,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,0,,,
300.0,4.0,1.0,dct_d300_b4_rep1,1.0,0.0,dct,0,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,0,,,
500.0,4.0,1.0,dct_d500_b4_rep1,1.0,0.0,dct,0,,,
250.0,,1.0,dwt_LH_d250_rep1,1.0,0.0,dwt,0,LH,,
300.0,,1.0,dwt_LH_d300_rep1,1.0,0.0,dwt,0,LH,,
400.0,,1.0,dwt_LH_d400_rep1,1.0,0.0,dwt,0,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,0,HL,,
500.0,,1.0,dwt_LH_d500_rep1,1.0,0.0,dwt,0,LH,,
,,,ss_g130,0.16666666666666666,0.8333333333333334,spread_spectrum,0,,130.0,
,,,ss_g110,0.26666666666666666,0.7333333333333333,spread_spectrum,0,,110.0,
,,,ss_g90,0.43333333333333335,0.5666666666666667,spread_spectrum,0,,90.0,
,,,ss_g70,0.8,0.2,spread_spectrum,0,,70.0,
,,,ss_g50,0.9,0.1,spread_spectrum,0,,50.0,
,4.0,,stat_b4_t70,0.43333333333333335,0.5666666666666667,statistical,0,,,70.0
,4.0,,stat_b4_t60,0.5333333333333333,0.4666666666666667,statistical,0,,,60.0
,4.0,,stat_b4_t50,0.7333333333333333,0.26666666666666666,statistical,0,,,50.0
,4.0,,stat_b4_t35,0.8666666666666667,0.13333333333333333,statistical,0,,,35.0
,4.0,,stat_b4_t20,1.0,0.0,statistical,0,,,20.0
150.0,4.0,1.0,dct_d150_b4_rep1,0.43333333333333335,0.5666666666666667,dct,1,,,
200.0,4.0,1.0,dct_d200_b4_rep1,0.4666666666666667,0.5333333333333333,dct,1,,,
300.0,4.0,1.0,dct_d300_b4_rep1,0.5333333333333333,0.4666666666666667,dct,1,,,
500.0,4.0,1.0,dct_d500_b4_rep1,0.7666666666666667,0.23333333333333334,dct,1,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,1,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,1,,,
250.0,,1.0,dwt_LH_d250_rep1,0.8333333333333334,0.16666666666666666,dwt,1,LH,,
300.0,,1.0,dwt_LH_d300_rep1,0.8333333333333334,0.16666666666666666,dwt,1,LH,,
400.0,,1.0,dwt_LH_d400_rep1,0.8666666666666667,0.13333333333333333,dwt,1,LH,,
500.0,,1.0,dwt_LH_d500_rep1,0.9,0.1,dwt,1,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,1,HL,,
,,,ss_g70,0.0,1.0,spread_spectrum,1,,70.0,
,,,ss_g50,0.03333333333333333,0.9666666666666667,spread_spectrum,1,,50.0,
,,,ss_g90,0.06666666666666667,0.9333333333333333,spread_spectrum,1,,90.0,
,,,ss_g110,0.06666666666666667,0.9333333333333333,spread_spectrum,1,,110.0,
,,,ss_g130,0.1,0.9,spread_spectrum,1,,130.0,
,4.0,,stat_b4_t60,0.0,1.0,statistical,1,,,60.0
,4.0,,stat_b4_t70,0.03333333333333333,0.9666666666666667,statistical,1,,,70.0
,4.0,,stat_b4_t50,0.13333333333333333,0.8666666666666667,statistical,1,,,50.0
,4.0,,stat_b4_t35,0.43333333333333335,0.5666666666666667,statistical,1,,,35.0
,4.0,,stat_b4_t20,0.8333333333333334,0.16666666666666666,statistical,1,,,20.0
300.0,4.0,1.0,dct_d300_b4_rep1,0.8333333333333334,0.16666666666666666,dct,2,,,
150.0,4.0,1.0,dct_d150_b4_rep1,0.9,0.1,dct,2,,,
200.0,4.0,1.0,dct_d200_b4_rep1,0.9,0.1,dct,2,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,2,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,2,,,
500.0,4.0,1.0,dct_d500_b4_rep1,1.0,0.0,dct,2,,,
250.0,,1.0,dwt_LH_d250_rep1,0.6333333333333333,0.36666666666666664,dwt,2,LH,,
300.0,,1.0,dwt_LH_d300_rep1,0.6333333333333333,0.36666666666666664,dwt,2,LH,,
400.0,,1.0,dwt_LH_d400_rep1,0.7666666666666667,0.23333333333333334,dwt,2,LH,,
500.0,,1.0,dwt_LH_d500_rep1,0.9666666666666667,0.03333333333333333,dwt,2,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,2,HL,,
,,,ss_g110,0.03333333333333333,0.9666666666666667,spread_spectrum,2,,110.0,
,,,ss_g130,0.03333333333333333,0.9666666666666667,spread_spectrum,2,,130.0,
,,,ss_g70,0.06666666666666667,0.9333333333333333,spread_spectrum,2,,70.0,
,,,ss_g90,0.06666666666666667,0.9333333333333333,spread_spectrum,2,,90.0,
,,,ss_g50,0.13333333333333333,0.8666666666666667,spread_spectrum,2,,50.0,
,4.0,,stat_b4_t60,0.03333333333333333,0.9666666666666667,statistical,2,,,60.0
,4.0,,stat_b4_t70,0.06666666666666667,0.9333333333333333,statistical,2,,,70.0
,4.0,,stat_b4_t50,0.13333333333333333,0.8666666666666667,statistical,2,,,50.0
,4.0,,stat_b4_t35,0.4666666666666667,0.5333333333333333,statistical,2,,,35.0
,4.0,,stat_b4_t20,0.8333333333333334,0.16666666666666666,statistical,2,,,20.0
200.0,4.0,1.0,dct_d200_b4_rep1,0.8333333333333334,0.16666666666666666,dct,3,,,
300.0,4.0,1.0,dct_d300_b4_rep1,0.8333333333333334,0.16666666666666666,dct,3,,,
150.0,4.0,1.0,dct_d150_b4_rep1,0.8666666666666667,0.13333333333333333,dct,3,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,3,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,3,,,
500.0,4.0,1.0,dct_d500_b4_rep1,1.0,0.0,dct,3,,,
250.0,,1.0,dwt_LH_d250_rep1,1.0,0.0,dwt,3,LH,,
300.0,,1.0,dwt_LH_d300_rep1,1.0,0.0,dwt,3,LH,,
400.0,,1.0,dwt_LH_d400_rep1,1.0,0.0,dwt,3,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,3,HL,,
500.0,,1.0,dwt_LH_d500_rep1,1.0,0.0,dwt,3,LH,,
,,,ss_g110,0.0,1.0,spread_spectrum,3,,110.0,
,,,ss_g70,0.06666666666666667,0.9333333333333333,spread_spectrum,3,,70.0,
,,,ss_g90,0.06666666666666667,0.9333333333333333,spread_spectrum,3,,90.0,
,,,ss_g130,0.06666666666666667,0.9333333333333333,spread_spectrum,3,,130.0,
,,,ss_g50,0.16666666666666666,0.8333333333333334,spread_spectrum,3,,50.0,
,4.0,,stat_b4_t60,0.06666666666666667,0.9333333333333333,statistical,3,,,60.0
,4.0,,stat_b4_t70,0.1,0.9,statistical,3,,,70.0
,4.0,,stat_b4_t50,0.13333333333333333,0.8666666666666667,statistical,3,,,50.0
,4.0,,stat_b4_t35,0.4,0.6,statistical,3,,,35.0
,4.0,,stat_b4_t20,0.8,0.2,statistical,3,,,20.0
200.0,4.0,1.0,dct_d200_b4_rep1,0.6333333333333333,0.36666666666666664,dct,4,,,
300.0,4.0,1.0,dct_d300_b4_rep1,0.6666666666666666,0.3333333333333333,dct,4,,,
150.0,4.0,1.0,dct_d150_b4_rep1,0.7,0.3,dct,4,,,
500.0,4.0,1.0,dct_d500_b4_rep1,0.8666666666666667,0.13333333333333333,dct,4,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,4,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,4,,,
250.0,,1.0,dwt_LH_d250_rep1,0.7666666666666667,0.23333333333333334,dwt,4,LH,,
300.0,,1.0,dwt_LH_d300_rep1,0.7666666666666667,0.23333333333333334,dwt,4,LH,,
400.0,,1.0,dwt_LH_d400_rep1,0.9333333333333333,0.06666666666666667,dwt,4,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,4,HL,,
500.0,,1.0,dwt_LH_d500_rep1,1.0,0.0,dwt,4,LH,,
,,,ss_g70,0.0,1.0,spread_spectrum,4,,70.0,
,,,ss_g90,0.0,1.0,spread_spectrum,4,,90.0,
,,,ss_g110,0.0,1.0,spread_spectrum,4,,110.0,
,,,ss_g130,0.06666666666666667,0.9333333333333333,spread_spectrum,4,,130.0,
,,,ss_g50,0.2,0.8,spread_spectrum,4,,50.0,
,4.0,,stat_b4_t70,0.0,1.0,statistical,4,,,70.0
,4.0,,stat_b4_t50,0.1,0.9,statistical,4,,,50.0
,4.0,,stat_b4_t60,0.16666666666666666,0.8333333333333334,statistical,4,,,60.0
,4.0,,stat_b4_t35,0.3,0.7,statistical,4,,,35.0
,4.0,,stat_b4_t20,0.8,0.2,statistical,4,,,20.0
200.0,4.0,1.0,dct_d200_b4_rep1,0.7,0.3,dct,5,,,
150.0,4.0,1.0,dct_d150_b4_rep1,0.7333333333333333,0.26666666666666666,dct,5,,,
300.0,4.0,1.0,dct_d300_b4_rep1,0.7333333333333333,0.26666666666666666,dct,5,,,
500.0,4.0,1.0,dct_d500_b4_rep1,0.9666666666666667,0.03333333333333333,dct,5,,,
200.0,8.0,1.0,dct_d200_b8_rep1,1.0,0.0,dct,5,,,
300.0,8.0,1.0,dct_d300_b8_rep1,1.0,0.0,dct,5,,,
250.0,,1.0,dwt_LH_d250_rep1,0.7,0.3,dwt,5,LH,,
300.0,,1.0,dwt_LH_d300_rep1,0.9,0.1,dwt,5,LH,,
400.0,,1.0,dwt_LH_d400_rep1,1.0,0.0,dwt,5,LH,,
300.0,,1.0,dwt_HL_d300_rep1,1.0,0.0,dwt,5,HL,,
500.0,,1.0,dwt_LH_d500_rep1,1.0,0.0,dwt,5,LH,,
,,,ss_g90,0.06666666666666667,0.9333333333333333,spread_spectrum,5,,90.0,
,,,ss_g70,0.1,0.9,spread_spectrum,5,,70.0,
,,,ss_g110,0.1,0.9,spread_spectrum,5,,110.0,
,,,ss_g130,0.1,0.9,spread_spectrum,5,,130.0,
,,,ss_g50,0.2,0.8,spread_spectrum,5,,50.0,
,4.0,,stat_b4_t70,0.03333333333333333,0.9666666666666667,statistical,5,,,70.0
,4.0,,stat_b4_t50,0.1,0.9,statistical,5,,,50.0
,4.0,,stat_b4_t60,0.1,0.9,statistical,5,,,60.0
,4.0,,stat_b4_t35,0.4666666666666667,0.5333333333333333,statistical,5,,,35.0
,4.0,,stat_b4_t20,0.8333333333333334,0.16666666666666666,statistical,5,,,20.0
